取引番号,取引原資産,オプションの種類,方向," 取引内容 ","ステータス ",購入,"ペイアウト ","判定レート "," 取引時間 "," 終了時刻 "
739282939,AUD/USD," Turbo ",LOW,0.74159,取引終了,"￥1,000","￥1,850",0.74138,"2021/11/08 22:30:02","2021/11/08 22:35:02"
739282852,AUD/USD," Turbo ",LOW,0.74159,取引終了,"￥1,000","￥1,850",0.74140,"2021/11/08 22:30:01","2021/11/08 22:35:01"
739282700,AUD/USD," Turbo ",LOW,0.74159,取引終了,"￥1,000","￥1,850",0.74141,"2021/11/08 22:30:00","2021/11/08 22:35:00"
739228688,GBP/AUD," HighLow ",LOW,1.82509,取引終了,"￥3,000","￥5,400",1.82435,"2021/11/08 21:00:39","2021/11/08 21:05:00"
739224309,EUR/GBP," HighLow ",HIGH,0.85623,取引終了,"￥5,000","￥9,250",0.85663,"2021/11/08 20:58:51","2021/11/08 21:05:00"
739223075,GBP/AUD," HighLow ",LOW,1.82393,取引終了,"￥3,000",---,1.82435,"2021/11/08 20:57:56","2021/11/08 21:05:00"
739222053,GBP/JPY," HighLow ",LOW,153.270,取引終了,"￥4,000",---,153.328,"2021/11/08 20:56:58","2021/11/08 21:05:00"
739215987,USD/JPY," Turbo ",HIGH,113.462,取引終了,"￥1,000",---,113.450,"2021/11/08 20:42:14","2021/11/08 20:45:14"
739066339,CHF/JPY," HighLow ",HIGH,124.333,取引終了,"￥3,000","￥5,550",124.371,"2021/11/08 14:59:48","2021/11/08 15:05:00"
739065734,EUR/JPY," Turbo ",HIGH,131.291,取引終了,"￥3,000","￥5,550",131.328,"2021/11/08 14:59:14","2021/11/08 15:04:14"
739065364,EUR/USD," Turbo ",HIGH,1.15606,取引終了,"￥3,000","￥5,550",1.15632,"2021/11/08 14:58:44","2021/11/08 15:03:44"
739012946,NZD/JPY," HighLow ",LOW,80.955,取引終了,"￥4,000",---,80.983,"2021/11/08 12:10:04","2021/11/08 12:15:00"
738821872,CHF/JPY," HighLow ",HIGH,124.027,取引終了,"￥4,000","￥7,400",124.034,"2021/11/05 22:10:07","2021/11/05 22:15:00"
738821743,EUR/JPY," HighLow ",HIGH,130.940,取引終了,"￥4,000","￥7,400",130.966,"2021/11/05 22:10:04","2021/11/05 22:15:00"
738801380,EUR/AUD," HighLow ",HIGH,1.56114,取引終了,"￥4,000","￥7,400",1.56232,"2021/11/05 21:35:08","2021/11/05 21:40:00"
738801279,CAD/JPY," HighLow ",LOW,91.527,取引終了,"￥4,000","￥7,400",91.432,"2021/11/05 21:35:05","2021/11/05 21:40:00"
738800091,EUR/AUD," HighLow ",HIGH,1.56103,取引終了,"￥4,000","￥7,400",1.56232,"2021/11/05 21:34:35","2021/11/05 21:40:00"
738797192,GBP/USD," HighLow ",HIGH,1.34397,取引終了,"￥4,000","￥7,400",1.34477,"2021/11/05 21:31:02","2021/11/05 21:40:00"
738771630,CHF/JPY," HighLow ",HIGH,124.129,取引終了,"￥4,000","￥7,400",124.165,"2021/11/05 20:35:05","2021/11/05 20:40:00"
738743823,CHF/JPY," HighLow ",HIGH,124.293,取引終了,"￥4,000",---,124.245,"2021/11/05 19:25:04","2021/11/05 19:30:00"
738716247,USD/CHF," HighLow ",LOW,0.91437,取引終了,"￥4,000","￥7,400",0.91416,"2021/11/05 18:10:03","2021/11/05 18:15:00"
738707275,GBP/JPY," HighLow ",HIGH,153.026,取引終了,"￥3,000","￥5,550",153.191,"2021/11/05 17:45:55","2021/11/05 17:55:00"
738706734,GBP/USD," HighLow ",HIGH,1.34558,取引終了,"￥4,000","￥7,400",1.34594,"2021/11/05 17:45:07","2021/11/05 17:50:00"
738706667,GBP/JPY," HighLow ",HIGH,153.083,取引終了,"￥4,000",---,153.082,"2021/11/05 17:45:03","2021/11/05 17:50:00"
738680839,GBP/JPY," Turbo ",LOW,153.622,取引終了,"￥3,000","￥5,700",153.617,"2021/11/05 16:41:00","2021/11/05 16:44:00"
738649062,EUR/JPY," Turbo ",HIGH,131.301,取引終了,"￥1,000","￥1,850",131.302,"2021/11/05 15:00:19","2021/11/05 15:05:19"
738647138,EUR/JPY," Turbo ",HIGH,131.301,取引終了,"￥1,000","￥1,850",131.309,"2021/11/05 14:59:52","2021/11/05 15:04:52"
738628864,AUD/JPY," Turbo ",LOW,84.101,取引終了,"￥5,000","￥9,250",84.075,"2021/11/05 13:59:47","2021/11/05 14:04:47"
738628681,GBP/AUD," HighLow ",HIGH,1.82446,取引終了,"￥3,000","￥5,400",1.82473,"2021/11/05 13:59:38","2021/11/05 14:05:00"
738628427,EUR/JPY," Turbo ",LOW,131.363,取引終了,"￥3,000",---,131.364,"2021/11/05 13:59:04","2021/11/05 14:04:04"
738574589,USD/CHF," HighLow ",HIGH,0.91213,取引終了,"￥1,000","￥1,850",0.91226,"2021/11/05 10:59:34","2021/11/05 11:05:00"
738574577,USD/CHF," HighLow ",HIGH,0.91214,取引終了,"￥1,000","￥1,850",0.91226,"2021/11/05 10:59:31","2021/11/05 11:05:00"
738565937,EUR/AUD," HighLow ",LOW,1.56396,取引終了,"￥3,000","￥5,550",1.56332,"2021/11/05 10:31:27","2021/11/05 10:35:00"
738565043,EUR/AUD," HighLow ",LOW,1.56369,取引終了,"￥3,000","￥5,550",1.56332,"2021/11/05 10:29:12","2021/11/05 10:35:00"
738556399,EUR/JPY," HighLow ",HIGH,131.290,取引終了,"￥4,000","￥7,400",131.329,"2021/11/05 10:05:09","2021/11/05 10:10:00"
738556292,GBP/JPY," HighLow ",HIGH,153.383,取引終了,"￥4,000","￥7,400",153.413,"2021/11/05 10:05:06","2021/11/05 10:10:00"
738556089,AUD/JPY," HighLow ",HIGH,84.027,取引終了,"￥4,000","￥7,400",84.087,"2021/11/05 10:05:03","2021/11/05 10:10:00"
738486662,EUR/USD," Turbo ",LOW,1.15483,取引終了,"￥3,000",---,1.15500,"2021/11/05 01:02:03","2021/11/05 01:05:03"
738485439,AUD/USD," Turbo ",LOW,0.74023,取引終了,"￥3,000",---,0.74043,"2021/11/05 01:00:03","2021/11/05 01:05:03"
738484051,EUR/AUD," HighLow ",HIGH,1.55982,取引終了,"￥3,000","￥5,550",1.55984,"2021/11/05 00:59:01","2021/11/05 01:05:00"
738479702,GBP/USD," HighLow ",HIGH,1.34722,取引終了,"￥4,000","￥7,400",1.34805,"2021/11/05 00:50:11","2021/11/05 00:55:00"
738479649,GBP/AUD," HighLow ",HIGH,1.82335,取引終了,"￥4,000",---,1.82292,"2021/11/05 00:50:08","2021/11/05 00:55:00"
738479574,EUR/GBP," HighLow ",LOW,0.85639,取引終了,"￥4,000","￥7,400",0.85600,"2021/11/05 00:50:04","2021/11/05 00:55:00"
738471034,USD/CAD," HighLow ",LOW,1.24672,取引終了,"￥4,000",---,1.24689,"2021/11/05 00:30:08","2021/11/05 00:35:00"
738470976,EUR/USD," HighLow ",HIGH,1.15305,取引終了,"￥4,000","￥7,400",1.15325,"2021/11/05 00:30:04","2021/11/05 00:35:00"
738470765,GBP/USD," HighLow ",HIGH,1.34830,取引終了,"￥1,000","￥1,850",1.34833,"2021/11/05 00:29:59","2021/11/05 00:35:00"
738470672,GBP/USD," HighLow ",HIGH,1.34827,取引終了,"￥1,000","￥1,850",1.34833,"2021/11/05 00:29:57","2021/11/05 00:35:00"
738441472,CHF/JPY," HighLow ",HIGH,124.416,取引終了,"￥3,000","￥5,550",124.425,"2021/11/04 23:41:55","2021/11/04 23:45:00"
738441275,CHF/JPY," HighLow ",HIGH,124.437,取引終了,"￥3,000",---,124.425,"2021/11/04 23:41:26","2021/11/04 23:45:00"
738429956,EUR/GBP," HighLow ",LOW,0.85543,取引終了,"￥4,000","￥7,400",0.85491,"2021/11/04 23:25:06","2021/11/04 23:30:00"
738428467,USD/JPY," HighLow ",HIGH,113.729,取引終了,"￥4,000","￥7,400",113.735,"2021/11/04 23:24:34","2021/11/04 23:30:00"
738425137,NZD/USD," HighLow ",HIGH,0.71034,取引終了,"￥4,000","￥7,400",0.71061,"2021/11/04 23:20:12","2021/11/04 23:25:00"
738425058,NZD/JPY," HighLow ",HIGH,80.836,取引終了,"￥4,000",---,80.821,"2021/11/04 23:20:08","2021/11/04 23:25:00"
738424960,AUD/JPY," HighLow ",HIGH,84.177,取引終了,"￥4,000",---,84.142,"2021/11/04 23:20:04","2021/11/04 23:25:00"
738423878,CAD/JPY," HighLow ",HIGH,91.475,取引終了,"￥4,000",---,91.419,"2021/11/04 23:19:48","2021/11/04 23:25:00"
738411083,NZD/JPY," Turbo ",HIGH,80.932,取引終了,"￥1,000",---,80.915,"2021/11/04 23:00:07","2021/11/04 23:05:07"
738411046,NZD/JPY," Turbo ",HIGH,80.933,取引終了,"￥1,000",---,80.915,"2021/11/04 23:00:06","2021/11/04 23:05:06"
738410981,NZD/JPY," Turbo ",HIGH,80.934,取引終了,"￥1,000",---,80.916,"2021/11/04 23:00:04","2021/11/04 23:05:04"
738373049,EUR/AUD," HighLow ",LOW,1.55982,取引終了,"￥4,000",---,1.56046,"2021/11/04 22:00:05","2021/11/04 22:05:00"
738363886,GBP/AUD," HighLow ",HIGH,1.82632,取引終了,"￥4,000",---,1.82605,"2021/11/04 21:45:14","2021/11/04 21:50:00"
738363816,EUR/GBP," HighLow ",LOW,0.85323,取引終了,"￥4,000",---,0.85357,"2021/11/04 21:45:10","2021/11/04 21:50:00"
738363730,GBP/USD," HighLow ",HIGH,1.35442,取引終了,"￥4,000",---,1.35398,"2021/11/04 21:45:05","2021/11/04 21:50:00"
738333513,GBP/AUD," HighLow ",HIGH,1.83193,取引終了,"￥4,000",---,1.82960,"2021/11/04 21:01:09","2021/11/04 21:10:00"
738332684,GBP/AUD," HighLow ",HIGH,1.83486,取引終了,"￥4,000",---,1.82960,"2021/11/04 21:00:34","2021/11/04 21:10:00"
738331433,GBP/USD," HighLow ",LOW,1.36515,取引終了,"￥4,000","￥7,400",1.35731,"2021/11/04 20:59:32","2021/11/04 21:05:00"
738331078,EUR/GBP," HighLow ",HIGH,0.84654,取引終了,"￥1,000","￥1,850",0.85094,"2021/11/04 20:59:12","2021/11/04 21:05:00"
738331071,EUR/GBP," HighLow ",HIGH,0.84654,取引終了,"￥1,000","￥1,850",0.85094,"2021/11/04 20:59:11","2021/11/04 21:05:00"
738331027,EUR/GBP," HighLow ",HIGH,0.84661,取引終了,"￥1,000","￥1,850",0.85181,"2021/11/04 20:59:05","2021/11/04 21:10:00"
738331015,EUR/GBP," HighLow ",HIGH,0.84661,取引終了,"￥1,000","￥1,850",0.85181,"2021/11/04 20:59:04","2021/11/04 21:10:00"
738330999,EUR/GBP," HighLow ",HIGH,0.84661,取引終了,"￥1,000","￥1,850",0.85181,"2021/11/04 20:59:03","2021/11/04 21:10:00"
